D12ASIN,AS10,GRADE 10 STUDENTS – ASIAN
D12HISP,HI10,GRADE 10 STUDENTS – HISPANIC
D12BLK,BL10,GRADE 10 STUDENTS – BLACK
D12WHT,WH10,GRADE 10 STUDENTS – WHITE
D13AMIN,AM11,GRADE 11 STUDENTS – AM. INDIAN
D13ASIN,AS11,GRADE 11 STUDENTS – ASIAN
D13HISP,HI11,GRADE 11 STUDENTS – HISPANIC
D13BLK,BL11,GRADE 11 STUDENTS – BLACK
D13WHT,WH11,GRADE 11 STUDENTS – WHITE
D14AMIN,AM12,GRADE 12 STUDENTS – AM. INDIAN
D14ASIN,AS12,GRADE 12 STUDENTS – ASIAN
D14HISP,HI12,GRADE 12 STUDENTS – HISPANIC
D14BLK,BL12,GRADE 12 STUDENTS – BLACK
D14WHT,WH12,GRADE 12 STUDENTS – WHITE
D15AMIN,AMUG,UNGRADED STUDENTS – AM. INDIAN
D15ASIN,ASUG,UNGRADED STUDENTS – ASIAN
D15HISP,HIUG,UNGRADED STUDENTS – HISPANIC
D15BLK,BLUG,UNGRADED STUDENTS – BLACK
D15WHT,WHUG,UNGRADED STUDENTS – WHITE
D16AMIN,AM,TOTAL STUDENTS – AM. INDIAN
D16ASIN,ASIAN,TOTAL STUDENTS – ASIAN
D16HISP,HISP,TOTAL STUDENTS – HISPANIC
D16BLK,BLACK,TOTAL STUDENTS – BLACK
D16WHT,WHITE,TOTAL STUDENTS – WHITE
E01AMIN,AMREGDIP,REGULAR DIPLOMA H.S. COMPLETERS – AM. INDIAN
E01ASIN,ASREGDIP,REGULAR DIPLOMA H.S. COMPLETERS - ASIAN
E01HISP,HIREGDIP,REGULAR DIPLOMA H.S. COMPLETERS - HISPANIC
E01BLK,BLREGDIP,REGULAR DIPLOMA H.S. COMPLETERS - BLACK
E01WHT,WHREGDIP,REGULAR DIPLOMA H.S. COMPLETERS - WHITE
E02AMIN,AMODIP,OTHER DIPLOMA RECIPIENTS – AM. INDIAN
E02ASIN,ASODIP,OTHER DIPLOMA RECIPIENTS – ASIAN
E02HISP,HIODIP,OTHER DIPLOMA RECIPIENTS – HISPANIC
E02BLK,BLODIP,OTHER DIPLOMA RECIPIENTS – BLACK
E02WHT,WHODIP,OTHER DIPLOMA RECIPIENTS – WHITE
E03AMIN,AMEQUIV,H.S. EQUIVALENCY RECIPIENTS – AM. INDIAN
E03ASIN,ASEQUIV,H.S. EQUIVALENCY RECIPIENTS – ASIAN
E03HISP,HIEQUIV,H.S. EQUIVALENCY RECIPIENTS – HISPANIC
E03BLK,BLEQUIV,H.S. EQUIVALENCY RECIPIENTS – BLACK
E03WHT,WHEQUIV,H.S. EQUIVALENCY RECIPIENTS – WHITE
E04AMIN,AMOHC,OTHER H.S. COMPLETERS – AM. INDIAN
E04ASIN,ASOHC,OTHER H.S. COMPLETERS – ASIAN
E04HISP,HIOHC,OTHER H.S. COMPLETERS – HISPANIC
E04BLK,BLOHC,OTHER H.S. COMPLETERS – BLACK
